,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: ,marketing@dyllu.com,,TeL: 0086 512 6569 0317;  Mobile phone: 0086 18061927935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Qty should be multiple of Basic Qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTKH1B012,,Best seller,Cordless heat gun,"Voltage:20V
Temperature:300/550°C
Airflow:100/200 L/min
nclude:
1 Pcs reduction nozzle
1 Pcs reflector nozzle
1 Pcs 4.0Ah Battery pack (DTLBP540)
1 Pcs charger (DTFCP502)
Charge volts:220-240V~50/60Hz
Packed by plastic box",PCS,"1,306 MDL",,50,5,0.00,0.000,0.00,Plastic box,0.053,12.90,20,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSU3066,,Best seller,Cordless spray gun,"Voltage: 20V
Spraying pressure: 0.1-0.2Bar
Max. flow: 650mL/min
Max. viscosity: 100DIN-s
Container capacity: 800ml
1 Pcs viscosity measuring cup
1 Pcs nozzle cleaning needle
Battery and charger sold separately
Packed by carton box",PCS,556 MDL,,80,8,0.00,0.000,0.00,Color box,0.087,10.60,160,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSU30662,,Best seller,Cordless spray gun,"Voltage: 20V
Spraying pressure: 0.1-0.2Bar
Max. flow: 650mL/min
Max. viscosity: 100DIN-s
Container capacity: 800ml
1 Pcs viscosity measuring cup
1 Pcs nozzle cleaning needle
1 Pcs 1.5Ah battery pack (DTLBP520)
1 Pcs charger (DTFCP502)
Charger volts: 220-240V~50/60Hz
Packed by carton box",PCS,986 MDL,,80,8,0.00,0.000,0.00,Color box,0.103,16.80,280,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLWP5630,,Best seller,Cordless circular saw,"Voltage:20V
No-load speed:6300rpm
Blade diameter:140mm(5-1/2'')
Adjustable cutting depth
Adjustable bevel cutting
Cutting capacity:
45°degree:33mm
90°degree:50mm
Include:
1 Pcs 140mm blade
Battery and charger sold separately
Packed by color box",PCS,"1,179 MDL",,40,4,0.00,0.000,0.00,Color box,0.061,10.60,60,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTC3K14,,Best seller,Ultra-thin TCT saw blade set,"Size: 140mm(5-1/2"")
Teeth quantity: 24T
Arbor: 20mm
Reduction ring: 16mm
Matrix thickness: 1.0mm
Better for Lithium-ion circular saw
Suitable for lithium-ion circular saw
Wood cutting
Packed by double blister",SET,148 MDL,,150,50,0.00,0.000,0.00,Double blister,0.022,12.90,0,0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLWP5520,,Best seller,Cordless circular saw,"Brushless motor
Voltage: 20V
No-load speed: 5200rpm
Blade diameter: 165mm(6-1/2'')
Cutting capacity:
45° degree: 42mm
90° degree: 55mm
Adjustable cutting depth
Adjustable bevel cutting
Include:
1 Pcs 165mm saw blade
1 Pcs Hex key
Battery and charger sold separately
Packed by color box",PCS,"1,344 MDL",,40,4,0.00,0.000,0.00,Color box,0.076,14.00,80,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTC3K16,,Best seller,Ultra-thin TCT saw blade set,"Size: 165mm(6-1/2"")
Teeth quantity: 24T
Arbor: 20mm
Reduction ring: 16mm
Matrix thickness: 1.0mm
Wood cutting
Packed by double blister",SET,158 MDL,,150,50,0.00,0.000,0.00,Double blister,0.028,17.00,0,0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTBJ1305,,Best seller,Cordless brad nailer,"Voltage: 20V
Nail type: F15~F35
Drive rate: 2 nails/s
Magazine capacity: 105pcs
Net weight: 1.98kg
Include:
1000 Pcs brad nails (35mm)
1 Pcs hex key
Battery and charger sold separately
Packed by color box",PCS,"1,915 MDL",,60,6,0.00,0.000,0.00,Color box,0.054,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTBJ1308,,Best seller,Cordless brad nailer,"Voltage: 20V
Nail type: F15~F35
Drive rate: 2 nails/s
Magazine capacity: 105pcs
Net weight: 1.98kg
Include:
1000 Pcs brad nails (35mm)
1 Pcs hex key
1 Pcs 20V 2.0Ah battery (DTLBP520)
1 Pcs charger (DTFCP502)
Charge volts: 220-240V~50/60Hz 
Packed by color box",PCS,"2,361 MDL",,40,4,0.00,0.000,0.00,Color box,0.046,14.20,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTNA18356,,Best seller,Brad nail,"Brad Lenght:35mm 
6000pcs/color box
Ga18,1.25X1.0mm
Packed by color box",SET,93 MDL,,48,16,0.00,0.000,0.00,Color box,0.009,27.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTBJ2305,,Best seller,Cordless brad nailer,"Voltage:20V
Nail type: F15~F50
Drive rate: 2 nails/s
Magazine capacity: 105pcs
Include:
1000 Pcs brad nails (50mm)
1pcs air nozzle
1pcs pin	
Packed by color box",PCS,"2,743 MDL",,40,4,0.00,0.000,0.00,Color box,0.049,14.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTBJ2308,,Best seller,Cordless brad nailer,"Voltage:20V
Nail type: F15~F50
Drive rate: 2 nails/s
Magazine capacity: 105pcs
Include:
1000 Pcs brad nails (50mm)
1pcs air nozzle
1pcs pin	
1 Pcs 20V 2.0AH battery(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz 
Packed by color box",PCS,"3,291 MDL",,40,4,0.00,0.000,0.00,Color box,0.057,16.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTNA18506,,Best seller,Brad nail,"Brad lenght:50mm 
6000pcs/color box
Ga18,1.25X1.0mm
Packed by color box",SET,124 MDL,,100,10,0.00,0.000,0.00,Color box,0.008,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLV20201,,Best seller,Cordless vacuum cleaner,"Voltage: 20V
Dust capacity: 0.45L
Vacuum pressure: ≥8kpa
Include:
1 Pcs crevice nozzle
1 Pcs 2Ah battery pack (DTLBP520)
1 Pcs charger (DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by color box",PCS,729 MDL,,40,8,0.00,0.000,0.00,Color box,0.067,13.00,152,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTMUP5020,,Best seller,Cordless multi-tool,"Voltage: 20V
No-load speed: 5000-20000rpm
Oscillation angle: 3.2°
6 speed adjustment
Include:
1 Pcs cutting saw blade
1 Pcs Hex key
1 Pcs sanding base
3 Pcs sanding paper
Battery and charger sold separately
Packed by color box",PCS,556 MDL,,40,8,0.00,0.000,0.00,Color box,0.023,8.30,120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTMA9417,,Best seller,Multi tool blade set,"22pcs/set
1Pcs 10mm(25/64"") HCS saw blade
1Pcs 34mm(1-11/32"") HCS saw blade
1Pcs 34mm(1-11/32"") BIM(M42) saw blade
1Pcs 87mm(3-7/16"") BIM(M42)saw blade
1Pcs inox scraper
1Pcs 78mm(3"") Triangular carbide grout removal rasp
1Pcs Delta sanding Pad
15Pcs 80mm(3-3/20"") sandpaper(P60,P80,P120,P180,P240)x3
Packed by double blister",SET,193 MDL,,160,80,0.00,0.000,0.00,Plastic box,0.129,27.63,160,160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTVM1D12,,Best seller,Cordless tile vibration machine,"Voltage: 20V
Vibrational frequency: 0-10000rpm
Sucker size: 130mm
Adsorbability: 50kg
Battery and charger sold separately
Packed by color box",PCS,588 MDL,,50,10,0.00,0.000,0.00,Color box,0.086,17.20,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTVM1D128,,Best seller,Cordless tile vibration machine,"Voltage: 20V
Vibrational frequency: 0-10000rpm
Adsorbability: 50kg
Include:
1 Pcs 2.0Ah Battery pack (DTLBP520)
1 Pcs charger (DTFCP502)
1 Set kneepads(DTKP2102)
1 Set 1.5mm tile spacer(DTXZ1015)
1 Set 2.0mm tile spacer(DTXZ1002)
1 Set 2.5mm tile spacer(DTXZ1025)
With 1 Set 1.5mm tile spacer
With 1 Set 2.0mm tile spacer
With 1 Set 2.5mm tile spacer
With 1 Set 1.0mm tile leveler
With 1 Set 1.5mm tile leveler
With 1 Set 2.0mm tile leveler
With 1 Set tile leveler insert
Packed by plastic buckle",SET,"1,201 MDL",,28,4,0.00,0.000,0.00,Plastic box,0.089,13.70,0,72,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTVM1D185,,Best seller,Cordless tile vibration machine,"Voltage: 20V
Vibrational frequency: 0-6000rpm
Sucker size: 180mm
Adsorbability: 70kg
Include:
1 Pcs 2.0Ah Battery pack (DTLBP520)
1 Pcs charger (DTFCP502)
1 Set kneepads(DTKP2102)
With 2 Set 1.5mm tile spacer
With 3 Set 2.0mm tile spacer
With 2 Set 2.5mm tile spacer
With 2 Set 1.0mm tile leveler
With 2 Set 1.5mm tile leveler
With 2 Set 2.0mm tile leveler
With 2 Set tile leveler insert
With 1 Pcs tile leveling
Packed by plastic buckle",PCS,"1,701 MDL",,20,2,0.00,0.000,0.00,Plastic box,0.079,12.40,60,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTRAP5010,,Best seller,Cordless sheet sander,"Voltage:20V
No-load speed:12000rpm
Bottom size:110mmx100mm
Include:
1 Pcs sand paper
Battery and charger sold separately
Packed by color box",PCS,499 MDL,,60,12,0.00,0.000,0.00,Color box,0.033,13.80,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD145114,,,Sanding sheet set,"Size:145X114mm
30Pcs/set
P40x5pcs    P80x10pcs    P120x10pcs   P180x5pcs
Suitable for grinding wood, wall, paint, plastic, stone, metal, glass
Packed by color box",SET,69 MDL,,320,40,0.00,0.000,0.00,Color box,0.035,12.90,320,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTRAP5020,,Best seller,Cordless palm sander,"Voltage:20V
No-load speed:12000rpm
Include:
1 Pcs finger pad
1 Pcs finger sand paper
1 Pcs sand paper
Battery and charger sold separately
Packed by color box",PCS,525 MDL,,60,12,0.00,0.000,0.00,Color box,0.039,14.60,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD938630,,,Sanding sheet set,"Size:93*172mm(3-21/32''x6-49/64'')
15pcs:P40x3pcs    P80x5pcs    P120x4pcs   P180x3pcs
Size:86*27mm(3-25/64''x1-1/16'')
15pcs:P40x3pcs    P80x5pcs    P120x4pcs   P180x3pcs
30Pcs/set
Suitable for grinding wood, wall, paint, plastic, stone, metal, glass
Packed by color box",SET,74 MDL,,320,40,0.00,0.000,0.00,Color box,0.039,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTRAP5030,,Best seller,Cordless random orbit sander,"Brushless Motor
Voltage: 20V
No-load speed: 8000-13000rpm
Bottom size: 125mm(5'')
With 1pcs sand paper
Battery and charger sold separately
Packed by color box",PCS,787 MDL,,40,8,0.00,0.000,0.00,Color box,0.033,11.50,80,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD012530,,,Sanding sheet set,"Diameter:125mm (5"")
30pcs/set
P40*5pcs,P80*10pcs,P120*10pcs,P180*5pcs
Packed by color box",SET,83 MDL,,400,40,0.00,0.000,0.00,Color box,0.043,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLX15182,,Best seller,Cordless mixer,"Voltage:20V
No-load speed:0-520rpm/0-800rpm
Mixing pad thread:M14
Aluminum gear box
Variable speed control
Include:
1 Pcs mixing pad
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by color box",PCS,"3,061 MDL",,20,2,0.00,0.000,0.00,Color box,0.065,15.10,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTDS204283,,Best seller,Cordless drywall screwdriver,"Brushless motor
Voltage: 20V
No-load speed: 0-4200rpm
Bit type: 6.35mm(1/4"") Hex
Max screw diameter: 4.2mm
Include:
1 Pcs screwdriver bit
1 Pcs connector
Battery and charger sold separately
Packed by color box",PCS,"1,021 MDL",,40,5,0.00,0.000,0.00,Color box,0.028,7.00,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTDS204285,,Best seller,Cordless drywall screwdriver,"Brushless motor
Voltage: 20V
No-load speed: 0-4200rpm
Bit type: 6.35mm(1/4"") Hex
Max screw diameter: 4.2mm
Include:
1 Pcs screwdriver bit
1 Pcs connector
1 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Packed by color box",PCS,"1,508 MDL",,40,4,0.00,0.000,0.00,Plastic box,0.078,13.70,40,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCDS2088,,,Collated drywall screw magazine,"Collated Screw Capacity : 25-55mm
Bit Type : 1/4"" Hex
7 positions length adjustment
Include:
1 Pcs 150mm Cr-V bit
Suitable for DTDS20428/DTDS204281/DTDS204283/DTDS204285
Packed by Double blister",PCS,361 MDL,,40,20,0.00,0.000,0.00,Double blister,0.070,13.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS2512C,,,Collated drywall screw,"Size: #6x1""(3.5x25mm)
Collated drywall screw
Fine thread
Material: high quality carbon steel
Quantity: 1000pcs/color box, 50 pcs/strip
Screw head type: bugle head
Screw drive: phillips
Surface treatment: black phosphated finish
Packed by color box",SET,201 MDL,,180,18,0.00,0.000,0.00,Color box,0.044,29.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS2513C,,,Collated drywall screw,"Size: #6x1-1/4""(3.5x32mm)
Collated drywall screw
Fine thread
Material: high quality carbon steel
Quantity: 1000pcs/color box, 50 pcs/strip
Screw head type: bugle head
Screw drive: phillips
Surface treatment: black phosphated finish
Packed by color box",SET,221 MDL,,140,14,0.00,0.000,0.00,Color box,0.045,27.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS2514C,,,Collated drywall screw,"Size: #6x1-1/2""(3.5x38mm)
Collated drywall screw
Fine thread
Material: high quality carbon steel
Quantity: 1000pcs/color box, 50 pcs/strip
Screw head type: bugle head
Screw drive: phillips
Surface treatment: black phosphated finish
Packed by color box",SET,238 MDL,,120,12,0.00,0.000,0.00,Color box,0.048,26.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTXS2515C,,,Collated drywall screw,"Size: #6x2""(3.5x50mm)
Collated drywall screw
Fine thread
Material: high quality carbon steel
Quantity: 1000pcs/color box, 50 pcs/strip
Screw head type: bugle head
Screw drive: phillips
Surface treatment: black phosphated finish
Packed by color box",SET,286 MDL,,100,10,0.00,0.000,0.00,Color box,0.048,28.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWM2018,,Best seller,Cordless plastic tube welding tools,"Voltage: 20V
Rated temperature: 0-320℃
Clamping size: 20mm,25mm,32mm
For welding plastic pipes such as PP-R,PB,PE,PE-RT
Include:
3 Pcs replacement heads
1 Pcs Hex key
Battery and charger sold separately
Packed by color box",PCS,439 MDL,,40,8,0.00,0.000,0.00,Color box,0.025,7.20,120,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWM20182,,Best seller,Cordless plastic tube welding tool,"Voltage: 20V
Rated temperature: 0-320℃
Clamping size: 20mm,25mm,32mm
For welding plastic pipes such as PP-R,PB,PE,PE-RT
Include:
3 Pcs replacement heads
1 Pcs Hex key
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP502)
Charge volts:220V-240V~50/60Hz 
Packed by color box",PCS,"1,426 MDL",,40,8,0.00,0.000,0.00,Color box,0.053,20.20,0,104,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCLP550,,Best seller,Cordless pruner saw,"Voltage: 20V
Bar length: 5""(13cm)
Chain speed: 5m/s
Include:
1 Pcs 5"" saw chain
1 Pcs 5""  chain saw bar
1 Pcs wrench
1 Pcs oil bottle(empty)
Battery and charger sold separately
Packed by color box",PCS,625 MDL,,30,6,0.00,0.000,0.00,Color box,0.054,10.60,150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCLP560,,Best seller,Cordless pruner saw,"Brushless motor
Voltage:20V
Bar length:6""(15cm)
Chain speed:11m/s
Auto lubrication
Include:
1 Pcs 6"" saw chain 
1 Pcs 6"" chain saw bar 
1 Pcs screwdriver
Battery and charger sold separately
Packed by color box",PCS,"1,042 MDL",,50,5,0.00,0.000,0.00,Color box,0.047,10.10,200,60,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCLP562,,Best seller,Cordless pruner saw,"Brushless motor
Voltage:20V
Bar length:6""(15cm)
Chain speed:11m/s
Auto lubrication
Include:
1 Pcs 6'' saw chain 
1 Pcs 6"" shain saw bar 
1 Pcs screwdriver
1 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by color box",PCS,"1,514 MDL",,32,4,0.00,0.000,0.00,Color box,0.037,10.70,240,136,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCLP581,,Best seller,Cordless pruner saw,"Brushless motor
Voltage:20V
Bar length: 8""(20cm)
Chain speed:11m/s
Auto lubrication
Include:
1 Pcs 8"" saw chain 
1 Pcs 8"" chain saw bar 
1 Pcs screwdriver
1 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by color box",PCS,"1,602 MDL",,50,5,0.00,0.000,0.00,Color box,0.056,14.60,0,100,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCLP5121,,Best seller,Cordless chain saw,"Brushless motor
Voltage:20V
Bar length:12""(30cm)
Chain Speed:10m/s
Quick Chain brake function
Auto lubrication
Include:
1 Pcs 12"" saw chain 
1 Pcs 12"" chain saw bar 
2 Pcs 4.0Ah battery pack(DTLBP540)
1 Pcs charger(DTFCP540)
Charge volts:220-240V~50/60Hz 
Packed by color box",PCS,"2,633 MDL",,20,2,0.00,0.000,0.00,Color box,0.044,11.00,176,134,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTGTP535,,Best seller,Cordless grass trimmer,"Voltage:20V
No-load speed:8200rpm
Cutting diameter:300mm
Line dia:1.6mm twisted
Line length:5m
Edging function
Include:
1 Pcs 20V 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts:220V-240V~50/60Hz
Packed by color box",PCS,"1,039 MDL",,20,2,0.00,0.000,0.00,Color box,0.053,6.80,326,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTBLP552,,Best seller,Cordless blower,"Voltage: 20V
No-load speed: 18000rpm
Max air volume: 2.7m³/min
Battery and charger sold separately
Packed by color box",PCS,285 MDL,,40,4,0.00,0.000,0.00,Color box,0.043,6.00,0,48,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTBLP5521,,Best seller,Cordless blower,"Voltage: 20V
No-load speed: 18000rpm
Max air volume: 2.7m³/min
Include:
1 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by color box",PCS,658 MDL,,40,4,0.00,0.000,0.00,Color box,0.043,8.80,88,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTBLP520,,Best seller,Cordless blower,"Voltage: 20V
No-load speed: 15000rpm
Average air volume: 8.5m3/min
Max. air speed: 115km/h
Battery and charger sold separately
Packed by color box",PCS,588 MDL,,60,4,0.00,0.000,0.00,Color box,0.109,10.60,264,0,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLYP5181,,Best seller,Cordless hedge trimmer,"Voltage:20V
Maximum speed :2400spm
Blade cutting length:480mm
Maximum cutting diameter:16mm
Laser cut blade
Include:
1 Pcs 2.0Ah battery pack(DTLBP520)
1 Pcs charger(DTFCP502)
Charge volts: 220-240V~50/60Hz
Packed by color box",PCS,"1,202 MDL",,40,4,0.00,0.000,0.00,Color box,0.070,14.60,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLSY2016,,Best seller,Cordless sprayer,"16L Battery Sprayer 
Voltage:20V  
Pressure: 5BAR
Two-speed control
Battery and charger sold separately
Material: PE for tank, Other plastic are in PP, all the sealings/NBR, T trigger with stainless steel lance
Flow: 1.3L/min
Spray Distance: ＞5m
net weight: 3.9kg
packed by color box",PCS,"1,262 MDL",,10,1,0.00,0.000,0.00,Color box,0.045,4.10,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
